order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,6,4,212.56,0.0
2,1,13,1,110.8,0.1
3,1,2,1,67.47,0.0
4,2,2,4,67.47,0.05
5,2,4,1,235.29,0.0
6,2,17,4,175.72,0.0
7,3,5,5,387.05,0.0
8,3,14,2,170.44,0.1
9,3,6,4,212.56,0.0
10,3,10,2,69.78,0.0
11,4,16,2,152.75,0.15
12,4,10,4,69.78,0.0
13,5,16,4,152.75,0.15
14,5,19,3,139.22,0.0
15,5,8,3,290.69,0.05
16,5,3,3,244.94,0.0
17,6,15,3,169.95,0.0
18,6,8,5,290.69,0.0
19,6,12,2,192.27,0.0
20,7,6,5,212.56,0.0
21,7,14,3,170.44,0.0
22,8,7,3,178.21,0.0
23,9,10,5,69.78,0.0
24,9,2,5,67.47,0.0
25,10,20,2,427.4,0.0
26,10,18,4,311.1,0.05
27,11,15,4,169.95,0.0
28,12,8,2,290.69,0.0
29,12,18,2,311.1,0.0
30,12,10,5,69.78,0.0
31,12,16,2,152.75,0.0
32,13,3,4,244.94,0.0
33,13,2,1,67.47,0.05
34,13,10,5,69.78,0.0
35,14,19,4,139.22,0.0
36,14,3,5,244.94,0.0
37,14,10,2,69.78,0.0
38,14,6,2,212.56,0.0
39,15,2,1,67.47,0.0
40,15,20,1,427.4,0.05
41,16,16,3,152.75,0.0
42,16,2,5,67.47,0.0
43,16,11,5,219.22,0.0
44,17,4,1,235.29,0.0
45,17,13,4,110.8,0.0
46,17,7,2,178.21,0.0
47,18,15,5,169.95,0.0
48,18,20,1,427.4,0.0
49,18,13,4,110.8,0.0
50,18,7,2,178.21,0.1
51,19,6,5,212.56,0.0
52,20,6,4,212.56,0.0
53,20,7,5,178.21,0.0
54,20,11,1,219.22,0.0
55,21,12,1,192.27,0.0
56,21,13,3,110.8,0.0
57,21,2,2,67.47,0.0
58,22,15,5,169.95,0.0
59,22,5,1,387.05,0.0
60,23,10,3,69.78,0.0
61,23,9,4,125.78,0.0
62,23,13,4,110.8,0.0
63,23,2,3,67.47,0.0
64,24,10,3,69.78,0.15
65,24,7,3,178.21,0.0
66,24,18,3,311.1,0.0
67,25,2,3,67.47,0.0
68,26,8,4,290.69,0.0
69,27,5,1,387.05,0.0
70,27,1,5,352.32,0.0
71,27,12,1,192.27,0.0
72,28,9,4,125.78,0.0
73,28,6,2,212.56,0.0
74,29,3,2,244.94,0.0
75,29,17,2,175.72,0.0
76,29,10,2,69.78,0.0
77,29,14,4,170.44,0.15
78,30,10,5,69.78,0.0
79,30,2,2,67.47,0.05
80,30,13,3,110.8,0.0
81,30,7,5,178.21,0.15
82,31,9,5,125.78,0.0
83,31,20,5,427.4,0.0
84,32,11,3,219.22,0.0
85,32,13,3,110.8,0.0
86,33,17,2,175.72,0.0
87,33,13,3,110.8,0.05
88,33,15,1,169.95,0.0
89,34,5,1,387.05,0.0
90,35,1,4,352.32,0.0
91,35,19,4,139.22,0.0
92,35,7,1,178.21,0.0
93,35,4,5,235.29,0.05
94,36,3,1,244.94,0.0
95,37,9,4,125.78,0.0
96,38,9,5,125.78,0.0
97,38,17,3,175.72,0.1
98,39,7,3,178.21,0.0
99,40,3,5,244.94,0.0
100,40,15,5,169.95,0.0
101,40,4,5,235.29,0.0
102,40,13,3,110.8,0.0
103,41,1,2,352.32,0.0
104,41,8,1,290.69,0.0
105,41,2,2,67.47,0.0
106,42,16,1,152.75,0.0
107,42,10,4,69.78,0.0
108,42,5,4,387.05,0.0
109,43,20,1,427.4,0.1
110,43,9,5,125.78,0.0
111,43,4,4,235.29,0.0
112,43,11,5,219.22,0.1
113,44,18,4,311.1,0.1
114,44,10,5,69.78,0.15
115,44,1,1,352.32,0.0
116,45,2,4,67.47,0.0
117,45,20,4,427.4,0.0
118,45,17,3,175.72,0.0
